n,m,selectiveU,hedoU,miqpU,selectiveTime,preHedonicTime,postHedonic,hedonicTime,preMiqpTime,postMiqpTime,miqpTime
2,4,0.2085389969152516,0.03168510815431136,0.21828084972851738,63532.19,204717.33,22357.56,392269.83,134054.91,108281.36,1.156379055E7
2,5,0.21440351471130623,0.04448586976068711,0.2229659297803833,81398.51,312602.11,24289.46,546717.48,134142.9,125911.33,1.03157039E7
2,6,0.212310206385213,0.014017613976367627,0.2172158706513268,74426.19,409109.64,22009.92,665640.15,135929.06,102388.86,1.107314099E7
2,7,0.19779114590075533,0.01234714767478789,0.20521659446735904,94080.62,935222.78,19702.56,1234634.5,131648.64,94435.79,1.13389135E7
2,8,0.19154938998919152,0.009665706071133155,0.19717958016411363,104639.65,1404215.72,17708.02,1740428.41,130551.17,82489.71,1.315900455E7
2,9,0.1952479205030939,0.0070341399706073835,0.2005884216099519,127610.82,4058088.83,19653.69,4504527.3,138453.6,78099.72,1.035354418E7
2,10,0.20775260143974084,0.015286004980144931,0.2133158304853663,169388.36,7145953.5,18747.51,7725263.77,161630.27,75705.06,1.350261693E7
2,11,0.2169039874359951,0.014731343300550495,0.22147620211939906,210652.82,2.162336982E7,19990.76,2.277672811E7,183736.39,68405.26,1.539141335E7
2,12,0.2094458114402425,0.00717708531461066,0.21475197074758903,231055.23,3.803379561E7,17034.98,3.987119489E7,195534.3,68296.66,1.560472618E7
2,13,0.2092053644747365,0.010514812717015837,0.2140576067491501,258107.95,1.0895829259E8,20209.13,1.1347025952E8,207924.73,69851.88,1.207656313E7
2,14,0.20564717999755275,0.0016617644182850028,0.20883827057889956,351008.64,1.9484292942E8,21475.1,2.0261750535E8,239064.89,69224.94,1.804409663E7
2,15,0.20745196677578467,0.005528903313415278,0.21019210158891977,447250.65,5.6157169211E8,27132.02,5.841167133E8,277353.17,74240.0,1.490786444E7
2,16,0.20404502495777446,0.0066225308420386556,0.20702294886638284,508084.1,1.01127103347E9,30175.25,1.05362040361E9,322670.61,76788.82,2.042239327E7
2,17,0.20434412203042482,0.0043255671763330365,0.20722355174444465,698076.61,3.00785990895E9,32971.33,3.13065695157E9,344722.32,81059.61,2.246813275E7
2,18,0.20974795191922768,0.007846937942831757,0.21245925327318574,836060.7,5.65958298614E9,34349.01,5.88596487294E9,371328.11,83816.88,2.095276417E7
2,19,0.21401934207344883,-0.003390576849821901,0.21626648691809705,986781.92,1.583461170416E10,37453.99,1.642510419534E10,390263.05,83119.89,2.353338456E7
2,20,0.20467433280544436,0.005076846376762661,0.20753258439074818,1072403.31,2.862959885812E10,34908.79,2.962830852241E10,434758.9,82709.33,2.617985246E7
